participant_id	session_id	task	run	desc	regressors	space	meanFD	relMeansRMSMotion	relMaxRMSMotion	meanDVInit	meanDVFinal	nVolCensored	nVolsRemoved	motionDVCorrInit	motionDVCorrFinal	coregDice	coregJaccard	coregCrossCorr	coregCoverage	normDice	normJaccard	normCrossCorr	normCoverage	medianFD	motionExclude	normCrossCorrExclude	fmriExclude
colornest081	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.0547286429120879	0.1305869676938103	0.4889317578194425	23.020359060773483	23.020359060773483	0	2	0.7424876244283507	0.7424876244283507	0.9142106938432788	0.8419779865757153	0.902846903281148	0.915854260630696	0.9277159170624212	0.8651773646782994	0.903475760703012	0.9338006990525533	0.0374408	0	0	0
colornest081	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0421228686263736	0.1835708236990797	0.4558715179793096	20.324034276243093	20.324034276243093	0	2	0.6276812077213462	0.6276812077213462	0.9148842547809584	0.8431213525486903	0.9036436118294962	0.9184683942474944	0.9281193082777942	0.865879304894066	0.904027860483162	0.9344946961963516	0.0273226	0	0	0
colornest156	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.0577207629120879	0.3272994590650228	0.556145223444929	17.993288127071825	17.993288127071825	0	2	0.7170200745396517	0.7170200745396517	0.906681433605794	0.8292929997485123	0.8934830196299808	0.9079512653084102	0.9227397513218804	0.856561589879653	0.8967261496395447	0.9266003708445544	0.0412481	0	0	0
colornest156	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0658337394505494	0.1996036363221058	1.1572741722137414	19.215708160221	19.215708160221	0	2	0.7082932736185911	0.7082932736185911	0.9115562654753384	0.837485886097206	0.8989846783300616	0.914637418099961	0.9238412940836476	0.8584619433961593	0.8980131751193524	0.9246049923299748	0.0469306	0	0	0
colornest060	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0921796242857142	0.347423947347162	0.9943712868080212	19.608161723756904	19.608161723756904	0	2	0.8542717802017347	0.8542717802017347	0.8911515269471534	0.8036729531616372	0.8788636671912528	0.9345447961417545	0.90953784064798	0.8340847344840009	0.8784760146136299	0.9452607015049448	0.0528661	0	0	0
colornest060	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.8368005961538462	3.1843141569860136	7.636202406690776	62.38652034806629	62.38652034806629	0	2	0.7282053392283986	0.7282053392283986	0.8904245034276674	0.8024911384383849	0.8780485468358437	0.9338633483120176	0.9091641949038346	0.8334565024877276	0.8779963377199959	0.9461839503558092	0.612879	1	0	1
colornest170	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.0568204846703296	0.2163335587388819	0.3977029287935908	17.720824364640887	17.720824364640887	0	2	0.1977279103288607	0.1977279103288607	0.9349768210554436	0.8778934013267303	0.9273961385678048	0.9495667310513284	0.9448620180686618	0.8954866891808541	0.9268120159208324	0.9606195681187876	0.0499825	0	0	0
colornest170	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0492367567032967	0.4196690892512509	0.8226817149207827	17.294798436464088	17.294798436464088	0	2	0.026898065778052	0.026898065778052	0.93743131770906	0.8822312696887709	0.9299375230789052	0.9425040095513532	0.946687003844453	0.8987708376330069	0.9287880447432668	0.9520362802353745	0.0415235	0	0	0
colornest178	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.1128818813186813	0.4608745546257465	1.8463214179432568	24.551082872928177	24.551082872928177	0	2	0.796964305448236	0.796964305448236	0.933355882237492	0.8750396375835141	0.9244907194977308	0.9431463914621352	0.9423571050282614	0.8909974335462654	0.9226503804784172	0.9518848888735651	0.0657341	0	0	0
colornest178	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0414000253296703	0.2070831727351166	0.4807313120174303	18.51190657458564	18.51190657458564	0	2	0.6149221608863406	0.6149221608863406	0.9359191286533574	0.8795563888569007	0.9273973883463312	0.945661932881826	0.9449108411562488	0.8955744007376171	0.926100762278846	0.952582114146832	0.0337383	0	0	0
colornest162	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.1223349785714285	0.5526071924075189	1.3388949510536663	20.457311602209945	20.457311602209945	0	2	0.4240993128035038	0.4240993128035038	0.9160245242056506	0.8450601924682638	0.9058530540504224	0.949280424431071	0.9309863496806676	0.8708835003206614	0.9073989613752758	0.95943013600271	0.0841808	0	0	0
colornest162	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.0549066065934066	0.1341107489732503	0.2674543800124425	20.257197375690605	20.257197375690605	0	2	0.6119707760378292	0.6119707760378292	0.9220032877869272	0.8552932280230254	0.9126427064746184	0.9564773535327143	0.9364888871364307	0.880563330095232	0.9149231276894644	0.9683501318653294	0.0454453	0	0	0
colornest121	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.0469759479670329	0.1654743107869127	0.3838293457402261	19.597972381215467	19.597972381215467	0	2	0.3821461583124886	0.3821461583124886	0.92084466340828	0.8533013109276459	0.9091674717289764	0.9228600696800072	0.9294473301492272	0.8681939304105284	0.9056352408254812	0.931877896460212	0.0443539	0	0	0
colornest121	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0383955674175824	0.231103766472469	0.4351951210568696	18.85988403314917	18.85988403314917	0	2	0.1525451362995028	0.1525451362995028	0.9242294729685064	0.8591325470858984	0.913046109098012	0.9267853136816612	0.9325623340371088	0.8736457066988385	0.9097872344756512	0.9346032496372192	0.036488	0	0	0
colornest167	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.1193490802197802	0.4422237918454729	0.7806948517617174	17.190959314917126	17.190959314917126	0	2	0.171539924102538	0.171539924102538	0.929993764726446	0.8691479863093386	0.9204903522993976	0.9358367521734792	0.939227588552004	0.885418567089166	0.9186113775502104	0.9402301719037915	0.113235	0	0	0
